Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
At4g02380,GO:1900424,GO:1900055,GO:1902074,GO:1900150,GO:2000028,GO:0009625,GO:0000302,GO:0009646,GO:0042631,GO:0042542,GO:0010150,GO:0009620,GO:0009723,GO:0009416,GO:0048364,GO:0009611,GO:0009414,GO:0006979,GO:0009409,GO:0009737,GO:0006952,,,,,,,,,,,,,,,,,
At3g28860,GO:0043481,GO:0010541,GO:0090691,GO:0060918,GO:0008361,GO:0010540,GO:0009639,GO:0048443,GO:0010315,GO:0009958,GO:0009640,GO:0009637,GO:0048527,GO:0010218,GO:0009926,GO:0048364,GO:0009734,GO:0009733,GO:0055085,GO:0008150,,,,,,,,,,,,,,,,,,
At1g48270,GO:0007202,GO:0032960,GO:0007186,GO:0010231,GO:0010244,GO:0009939,GO:0006571,GO:0009094,GO:0000278,GO:0009785,GO:0009788,GO:0009845,GO:0009740,GO:0009742,GO:0009736,GO:0009908,GO:0007166,GO:0009738,GO:0006629,GO:0009735,,,,,,,,,,,,,,,,,,
At4g38630,GO:0048455,GO:0080129,GO:0051788,GO:0048528,GO:0043248,GO:0010029,GO:0048767,GO:0009744,GO:0006974,GO:0010150,GO:0048366,GO:0030163,GO:0009408,GO:0009735,GO:0009555,GO:0009733,GO:0043161,GO:0007165,GO:0009737,GO:0009651,,,,,,,,,,,,,,,,,,
At1g13980,GO:0048765,GO:0009942,GO:0007155,GO:0001736,GO:0032509,GO:0048209,GO:0010274,GO:0010311,GO:0000911,GO:0010087,GO:0032012,GO:0010540,GO:0009880,GO:0009826,GO:0006897,GO:0043547,GO:0009793,GO:0016192,GO:0071555,GO:0015031,,,,,,,,,,,,,,,,,,
At5g13680,GO:0080178,GO:0048530,GO:0031538,GO:0035265,GO:0010928,GO:0009787,GO:2000024,GO:0002098,GO:0006400,GO:0008284,GO:0071215,GO:0008283,GO:0009965,GO:0009734,GO:0009738,GO:0006979,GO:0009737,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,
At2g42540,GO:0009667,GO:0051259,GO:0050826,GO:0009819,GO:0061077,GO:0051260,GO:0010017,GO:0050821,GO:0010286,GO:0007623,GO:0009631,GO:0009644,GO:0010150,GO:0006970,GO:0009416,GO:0009414,GO:0009409,GO:0009737,GO:0009651,,,,,,,,,,,,,,,,,,,
At1g64170,GO:0031540,GO:0035066,GO:0006885,GO:0006338,GO:0006813,GO:0016573,GO:0009739,GO:1902600,GO:0009723,GO:0080167,GO:0006357,GO:0009751,GO:0009753,GO:0009733,GO:0046686,GO:0009737,GO:0009651,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,
At2g01830,GO:0008272,GO:0033500,GO:0010086,GO:0048831,GO:0071329,GO:0007231,GO:0018106,GO:0048509,GO:0009116,GO:0010029,GO:0000160,GO:0016036,GO:0010150,GO:0023014,GO:0009736,GO:0006470,GO:0009414,GO:0042742,GO:0006468,,,,,,,,,,,,,,,,,,,
At3g45640,GO:0000169,GO:0080136,GO:0010120,GO:0010183,GO:0010229,GO:0048481,GO:0010224,GO:0009626,GO:0009617,GO:0000165,GO:0010200,GO:0030163,GO:0006970,GO:0009611,GO:0009555,GO:0009738,GO:0006979,GO:0009409,GO:0006508,,,,,,,,,,,,,,,,,,,
At2g40220,GO:0010353,GO:0010896,GO:0010449,GO:0005983,GO:0031930,GO:0032880,GO:0010182,GO:0009749,GO:0009744,GO:0048527,GO:0010119,GO:0048316,GO:0006970,GO:0045893,GO:0009873,GO:0009738,GO:0009414,GO:0006952,GO:0006351,,,,,,,,,,,,,,,,,,,
At2g26300,GO:0001789,GO:0034260,GO:0006571,GO:0072593,GO:0010244,GO:0009094,GO:0009785,GO:0008219,GO:0042127,GO:0009788,GO:0009749,GO:0071215,GO:0010027,GO:0010119,GO:0009845,GO:0009789,GO:0009740,GO:0009738,GO:0008150,,,,,,,,,,,,,,,,,,,
At5g58230,GO:0070828,GO:2000653,GO:0045787,GO:0031507,GO:0006349,GO:0010026,GO:0010214,GO:0008283,GO:0009909,GO:0048316,GO:0006260,GO:0016569,GO:0048366,GO:0009555,GO:0009908,GO:0007275,GO:0009793,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,
At5g11270,GO:2000071,GO:0009787,GO:0009682,GO:2000022,GO:0002229,GO:0010118,GO:0009867,GO:0031347,GO:0009620,GO:0009738,GO:0098869,GO:0009414,GO:0042742,GO:0009737,GO:0050832,GO:0006952,GO:0055114,GO:0006355,,,,,,,,,,,,,,,,,,,,
At2g46830,GO:0043496,GO:0010243,GO:0042754,GO:0048574,GO:0010468,GO:0007623,GO:0009739,GO:0009723,GO:0045892,GO:0009753,GO:0009751,GO:0045893,GO:0009733,GO:0009409,GO:0046686,GO:0009737,GO:0009651,GO:0006351,,,,,,,,,,,,,,,,,,,,
At1g09570,GO:0009640,GO:0010018,GO:0046685,GO:0010161,GO:0009584,GO:0017006,GO:0010201,GO:0010203,GO:0000160,GO:0018298,GO:0010218,GO:0009638,GO:0009630,GO:0017148,GO:0009585,GO:0023014,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,
At5g26920,GO:0009697,GO:0071219,GO:0080142,GO:1902584,GO:0010112,GO:0002237,GO:0071456,GO:0002229,GO:0009789,GO:0009816,GO:0010224,GO:0009626,GO:0009620,GO:0009617,GO:0009738,GO:0042742,GO:0006351,GO:0006355,,,,,,,,,,,,,,,,,,,,
At4g33950,GO:0010359,GO:1902456,GO:2000377,GO:0019432,GO:0040007,GO:0005985,GO:0006636,GO:0010118,GO:0010119,GO:0048366,GO:0006970,GO:0046777,GO:0009738,GO:0035556,GO:0009414,GO:0042742,GO:0009737,GO:0009651,,,,,,,,,,,,,,,,,,,,
